Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.090968,-0.00046322,0.011316,0,0,0,3.2296,0.0058031,1.9364E-06,7.5662E-07,0.0072204,3.8668E-07,0.012514,0,0,0,0,0,0,package://model20/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://model20/meshes/base_link.STL,,1. E-baseline-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.0078674,-0.015595,0.023256,0,0,0,0.065113,1.488E-05,1.6485E-08,-1.5645E-07,1.7525E-05,-2.9641E-09,8.0101E-06,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint,Axis_left_front_wheel_suspension_joint,left_front_wheel_suspension_joint,prismatic,0.16352,0.0775901982858018,-0.0625778167969167,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.015839,9.7145E-17,-1.1102E-16,0,0,0,0.22822,0.00078921,2.8829E-20,6.3616E-20,0.00041043,-3.3881E-19,0.00041043,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint,Axis_left_front_wheel_joint,left_front_wheel_joint,continuous,-0.0197608799814971,-0.0217865728752538,0.0100000000000001,3.08413603591628,0,3.14159265358979,left_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.0041543,-0.01563,0.023256,0,0,0,0.065113,1.488E-05,1.6485E-08,1.5645E-07,1.7525E-05,2.9641E-09,8.0101E-06,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint,Axis_right_front_wheel_suspension_joint,right_front_wheel_suspension_joint,prismatic,0.16352,-0.0924098017141981,-0.0625778167969166,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839,1.1102E-16,0,0,0,0,0.22822,0.00078921,-3.3559E-20,5.3334E-21,0.00041043,-3.3204E-19,0.00041043,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint,Axis_right_front_wheel_joint,right_front_wheel_joint,continuous,0.00773912001850283,-0.0217849999999998,0.0100000000000001,0.162600051915931,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0185E-09,2.1758E-08,4.2948E-06,-8.8505E-10,2.2106E-05,0,0,0,0,0,0,package://model20/meshes/camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://model20/meshes/camera.STL,,Webcam_C920 - 복사본-6,Origin_cam,Axis_camera,camera,fixed,0.187883152408986,-0.00139050228123665,0.0574202048500908,0,0.40142572795869,0,base_link,0,0,0,,,,,,,,,,,,
camera2,0.00044553,-1.1064E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0184E-09,2.1759E-08,4.2948E-06,-8.8504E-10,2.2106E-05,0,0,0,0,0,0,package://model20/meshes/camera2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://model20/meshes/camera2.STL,,Webcam_C920 - 복사본-5,Origin_cam2,Axis_camera2,camera2,fixed,0.184246194713152,-0.00139050228123667,0.123169082523395,0,0.174532925199424,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.0086878,-0.0024201,-0.028765,0,0,0,0.073085,1.9581E-05,-1.0393E-07,4.2839E-07,2.4125E-05,-9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://model20/meshes/lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://model20/meshes/lidar.STL,,RPLidar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,0.119259482420036,-0.0091960486691496,0.191917816796912,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,-0.030741,0.049048,-0.051,0,0,0,0.00051,5.3125E-09,-7.3726E-26,-3.6943E-27,5.3125E-09,-2.2118E-26,8.5E-09,0,0,0,0,0,0,package://model20/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/imu.STL,,imu-1,Origin_lidar_joint,Axis_imu,imu,fixed,0.119259482420036,-0.0091960486691496,0.191917816796912,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_rear_wheel_suspension,-0.0078674,-0.015595,0.023256,0,0,0,0.065113,1.488E-05,1.6485E-08,-1.5645E-07,1.7525E-05,-2.9641E-09,8.0101E-06,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,,3.Suspension_L-2,Origin_left_rear_wheel_suspension_joint,Axis_left_rear_wheel_suspension_joint,left_rear_wheel_suspension_joint,prismatic,-0.09648,0.0775915130798368,-0.0625778167969167,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
